id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
24446;100.0;money_back;25/10/2020;18/12/2020;86961.0;;;;27/10/2020;09/11/2020;instant;25/10/2020;;;;<13 * Days>;13
16221;100.0;money_back;15/09/2020;18/12/2020;21062.0;15/09/2020;;;15/09/2020;05/11/2020;instant;22/09/2020;completed;16/10/2020;05/11/2020;<51 * Days>;51
21723;100.0;money_back;17/10/2020;18/12/2020;66133.0;;;01/11/2020;20/10/2020;02/11/2020;instant;17/10/2020;;;;<13 * Days>;13
21706;50.0;money_back;17/10/2020;18/12/2020;74694.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21712;100.0;money_back;17/10/2020;18/12/2020;72762.0;;;;20/10/2020;09/11/2020;instant;17/10/2020;;;;<20 * Days>;20
21775;50.0;money_back;17/10/2020;18/12/2020;76453.0;;;03/11/2020;20/10/2020;29/10/2020;instant;17/10/2020;;;;<9 * Days>;9
21744;100.0;money_back;17/10/2020;18/12/2020;73208.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
26821;100.0;money_back;31/10/2020;18/12/2020;99086.0;;;;03/11/2020;06/12/2020;instant;31/10/2020;;;;<33 * Days>;33
21750;50.0;money_back;17/10/2020;18/12/2020;3081.0;;;;19/10/2020;05/11/2020;instant;17/10/2020;;;;<17 * Days>;17
18049;50.0;money_back;27/09/2020;18/12/2020;52552.0;27/09/2020;;;29/09/2020;06/11/2020;instant;04/10/2020;completed;16/10/2020;06/11/2020;<38 * Days>;38
21735;100.0;money_back;17/10/2020;18/12/2020;590.0;17/10/2020;;;18/10/2020;30/10/2020;instant;17/10/2020;;;;<12 * Days>;12
21755;100.0;money_back;17/10/2020;18/12/2020;76344.0;;;;18/10/2020;10/11/2020;instant;17/10/2020;;;;<23 * Days>;23
21736;100.0;money_back;17/10/2020;18/12/2020;76216.0;;;;20/10/2020;28/10/2020;instant;17/10/2020;;;;<8 * Days>;8
21752;50.0;money_back;17/10/2020;18/12/2020;75904.0;;;;20/10/2020;11/11/2020;instant;17/10/2020;;;;<22 * Days>;22
21767;100.0;money_back;17/10/2020;18/12/2020;36293.0;;;;19/10/2020;11/11/2020;instant;17/10/2020;;;;<23 * Days>;23
21737;100.0;money_back;17/10/2020;18/12/2020;3536.0;;;;20/10/2020;11/11/2020;instant;17/10/2020;;;;<22 * Days>;22
21770;50.0;money_back;17/10/2020;18/12/2020;75706.0;;;;18/10/2020;05/11/2020;instant;17/10/2020;;;;<18 * Days>;18
21774;100.0;money_back;17/10/2020;18/12/2020;76063.0;;;;20/10/2020;03/11/2020;instant;17/10/2020;;;;<14 * Days>;14
21751;100.0;money_back;17/10/2020;18/12/2020;42327.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21760;50.0;money_back;17/10/2020;18/12/2020;27723.0;;;;20/10/2020;26/10/2020;instant;17/10/2020;;;;<6 * Days>;6
21738;100.0;money_back;17/10/2020;18/12/2020;73500.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21772;100.0;money_back;17/10/2020;18/12/2020;76277.0;;;;20/10/2020;29/10/2020;instant;17/10/2020;;;;<9 * Days>;9
21742;100.0;money_back;17/10/2020;18/12/2020;60459.0;;;;20/10/2020;06/11/2020;instant;17/10/2020;;;;<17 * Days>;17
21762;50.0;money_back;17/10/2020;18/12/2020;72574.0;;;;20/10/2020;04/11/2020;instant;17/10/2020;;;;<15 * Days>;15
21758;100.0;money_back;17/10/2020;18/12/2020;17121.0;;;;18/10/2020;14/11/2020;instant;17/10/2020;;;;<27 * Days>;27
21763;100.0;money_back;17/10/2020;18/12/2020;37508.0;;;01/11/2020;23/10/2020;02/11/2020;instant;19/10/2020;;;;<10 * Days>;10
21791;100.0;money_back;17/10/2020;18/12/2020;72451.0;;;;18/10/2020;05/11/2020;instant;17/10/2020;;;;<18 * Days>;18
21786;100.0;money_back;17/10/2020;18/12/2020;48777.0;;;;20/10/2020;28/10/2020;instant;19/10/2020;;;;<8 * Days>;8
21781;50.0;money_back;17/10/2020;18/12/2020;74021.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21805;100.0;money_back;17/10/2020;18/12/2020;26270.0;;;;20/10/2020;06/11/2020;instant;17/10/2020;;;;<17 * Days>;17
21809;100.0;money_back;17/10/2020;18/12/2020;76903.0;;;;20/10/2020;06/11/2020;instant;17/10/2020;;;;<17 * Days>;17
